id_odsp,id_event,sort_order,time,text,event_type,event_type2,side,event_team,opponent,player,player2,player_in,player_out,shot_place,shot_outcome,is_goal,location,bodypart,assist_method,situation,fast_break
UFot0hit/,UFot0hit1,1,2,Attempt missed. Mladen Petric (Hamburg) left footed shot from the left side of the box is high and wide to the left. Assisted by Gokhan Tore.,1,12,2,Hamburg SV,Borussia Dortmund,mladen petric,gokhan tore,NA,NA,6,2,0,9,2,1,1,0
UFot0hit/,UFot0hit2,2,4,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,NA,1,Borussia Dortmund,Hamburg SV,dennis diekmeier,dennis diekmeier,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit3,3,4,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,NA,1,Borussia Dortmund,Hamburg SV,heiko westermann,heiko westermann,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit4,4,7,Foul by Sven Bender (Borussia Dortmund).,3,NA,1,Borussia Dortmund,Hamburg SV,sven bender,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit5,5,7,Gokhan Tore (Hamburg) wins a free kick in the defensive half.,8,NA,2,Hamburg SV,Borussia Dortmund,gokhan tore,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
UFot0hit/,UFot0hit6,6,9,Hand ball by Jose Paolo Guerrero (Hamburg).,10,NA,2,Hamburg SV,Borussia Dortmund,jose paolo guerrero,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit7,7,10,"Corner,  Hamburg. Conceded by Lukasz Piszczek.",2,NA,2,Hamburg SV,Borussia Dortmund,lukasz piszczek,lukasz piszczek,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit8,8,11,Chris Lowe (Borussia Dortmund) wins a free kick in the defensive half.,8,NA,1,Borussia Dortmund,Hamburg SV,chris lowe,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
UFot0hit/,UFot0hit9,9,11,Foul by Gojko Kacar (Hamburg).,3,NA,2,Hamburg SV,Borussia Dortmund,gojko kacar,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit10,10,13,Foul by Gokhan Tore (Hamburg).,3,NA,2,Hamburg SV,Borussia Dortmund,gokhan tore,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit11,11,14,Sven Bender (Borussia Dortmund) wins a free kick on the left wing.,8,NA,1,Borussia Dortmund,Hamburg SV,sven bender,NA,NA,NA,NA,NA,0,4,NA,0,NA,0
UFot0hit/,UFot0hit12,12,14,"Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from outside the box is close, but misses the top right corner. Assisted by Mario Gotze.",1,12,1,Borussia Dortmund,Hamburg SV,shinji kagawa,mario gotze,NA,NA,13,2,0,15,1,1,1,0
UFot0hit/,UFot0hit13,13,14,Foul by Gojko Kacar (Hamburg).,3,NA,2,Hamburg SV,Borussia Dortmund,gojko kacar,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit14,14,17,"Goal!  Borussia Dortmund 1, Hamburg 0. Kevin Grosskreutz (Borussia Dortmund) left footed shot from the left side of the box to the bottom right corner. Assisted by Mario Gotze.",1,12,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,mario gotze,NA,NA,4,1,1,9,2,1,1,0
UFot0hit/,UFot0hit15,15,19,Attempt blocked. Mats Hummels (Borussia Dortmund) right footed shot from outside the box is blocked.,1,NA,1,Borussia Dortmund,Hamburg SV,mats hummels,NA,NA,NA,2,3,0,15,1,0,1,0
UFot0hit/,UFot0hit16,16,20,Foul by Sven Bender (Borussia Dortmund).,3,NA,1,Borussia Dortmund,Hamburg SV,sven bender,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit17,17,20,Mladen Petric (Hamburg) wins a free kick in the attacking half.,8,NA,2,Hamburg SV,Borussia Dortmund,mladen petric,NA,NA,NA,NA,NA,0,1,NA,0,NA,0
UFot0hit/,UFot0hit18,18,20,Attempt blocked. Tomas Rincon (Hamburg) right footed shot from outside the box is blocked.,1,NA,2,Hamburg SV,Borussia Dortmund,tomas rincon,NA,NA,NA,2,3,0,15,1,0,1,0
UFot0hit/,UFot0hit19,19,25,Shinji Kagawa (Borussia Dortmund) hits the right post with a right footed shot from the centre of the box. Assisted by Lukasz Piszczek.,1,12,1,Borussia Dortmund,Hamburg SV,shinji kagawa,lukasz piszczek,NA,NA,7,4,0,3,1,1,1,0
UFot0hit/,UFot0hit20,20,25,"Corner,  Borussia Dortmund. Conceded by Dennis Diekmeier.",2,NA,1,Borussia Dortmund,Hamburg SV,dennis diekmeier,dennis diekmeier,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit21,21,25,Attempt blocked. Ilkay Gundogan (Borussia Dortmund) left footed shot from outside the box is blocked.,1,NA,1,Borussia Dortmund,Hamburg SV,ilkay gundogan,NA,NA,NA,2,3,0,15,2,0,1,0
UFot0hit/,UFot0hit22,22,25,"Corner,  Borussia Dortmund. Conceded by Heiko Westermann.",2,NA,1,Borussia Dortmund,Hamburg SV,heiko westermann,heiko westermann,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit23,23,26,Attempt saved. Mats Hummels (Borussia Dortmund) header from the centre of the box is saved in the centre of the goal. Assisted by Chris Lowe with a cross.,1,12,1,Borussia Dortmund,Hamburg SV,mats hummels,chris lowe,NA,NA,5,1,0,3,3,2,1,0
UFot0hit/,UFot0hit24,24,27,Lukasz Piszczek (Borussia Dortmund) wins a free kick in the defensive half.,8,NA,1,Borussia Dortmund,Hamburg SV,lukasz piszczek,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
UFot0hit/,UFot0hit25,25,27,Foul by Gokhan Tore (Hamburg).,3,NA,2,Hamburg SV,Borussia Dortmund,gokhan tore,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit26,26,28,Attempt missed. Shinji Kagawa (Borussia Dortmund) right footed shot from the left side of the box misses to the right. Assisted by Kevin Grosskreutz.,1,12,1,Borussia Dortmund,Hamburg SV,shinji kagawa,kevin grosskreutz,NA,NA,9,2,0,9,1,1,1,0
UFot0hit/,UFot0hit27,27,29,"Goal!  Borussia Dortmund 2, Hamburg 0. Mario Gotze (Borussia Dortmund) right footed shot from the centre of the box to the centre of the goal. Assisted by Robert Lewandowski.",1,12,1,Borussia Dortmund,Hamburg SV,mario gotze,robert lewandowski,NA,NA,5,1,1,3,1,1,1,0
UFot0hit/,UFot0hit28,28,31,Foul by Kevin Grosskreutz (Borussia Dortmund).,3,NA,1,Borussia Dortmund,Hamburg SV,kevin grosskreutz,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit29,29,31,Gokhan Tore (Hamburg) wins a free kick on the right wing.,8,NA,2,Hamburg SV,Borussia Dortmund,gokhan tore,NA,NA,NA,NA,NA,0,5,NA,0,NA,0
UFot0hit/,UFot0hit30,30,32,Roman Weidenfeller (Borussia Dortmund) wins a free kick in the defensive half.,8,NA,1,Borussia Dortmund,Hamburg SV,roman weidenfeller,NA,NA,NA,NA,NA,0,2,NA,0,NA,0
UFot0hit/,UFot0hit31,31,32,"Corner,  Hamburg. Conceded by Ilkay Gundogan.",2,NA,2,Hamburg SV,Borussia Dortmund,ilkay gundogan,ilkay gundogan,NA,NA,NA,NA,0,NA,NA,0,NA,0
UFot0hit/,UFot0hit32,32,32,Foul by Gojko Kacar (Hamburg).,3,NA,2,Hamburg SV,Borussia Dortmund,gojko kacar,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0
